players,line,over,under
Corey Kispert,9.5,+100,−130
Daniel Gafford,8.5,+115,−150
De'Anthony Melton,8.5,−115,−110
Deni Avdija,10.5,+105,−135
Joel Embiid,28.5,−120,−105
Jordan Poole,16.5,−120,−105
Kelly Oubre Jr.,17.5,−130,+100
Kyle Kuzma,19.5,−110,−115
Tobias Harris,14.5,−130,+100
Tyrese Maxey,21.5,−145,+115
Tyus Jones,8.5,−120,−110
Andrew Wiggins,12.5,−130,+105
Ausar Thompson,15.5,−105,−125
Cade Cunningham,24.5,−105,−125
Chris Paul,7.5,−130,+105
Draymond Green,8.5,+100,−125
Isaiah Stewart,11.5,−105,−120
Jonathan Kuminga,12.5,+105,−135
Killian Hayes,9.5,−115,−110
Klay Thompson,15.5,−120,−105
Marcus Sasser,11.5,−120,−105
Marvin Bagley,16.5,−115,−110
Stephen Curry,27.5,−110,−120
Aaron Nesmith,10.5,+100,−125
Andrew Nembhard,7.5,+115,−145
Bennedict Mathurin,12.5,−135,+105
Bruce Brown,13.5,+100,−130
Buddy Hield,12.5,−120,−105
Cedi Osman,8.5,−110,−115
Doug McDermott,8.5,−105,−120
Jalen Smith,9.5,−105,−125
Jeremy Sochan,11.5,+110,−140
Keldon Johnson,19.5,+110,−140
Malaki Branham,11.5,−120,−110
Myles Turner,17.5,−105,−120
Obi Toppin,9.5,+100,−125
Tre Jones,8.5,−130,+105
Tyrese Haliburton,21.5,−120,−105
Victor Wembanyama,20.5,−110,−115
Zach Collins,14.5,−110,−120
Anthony Black,8.5,−130,+100
Cole Anthony,13.5,−105,−125
Dereck Lively II,7.5,−115,−110
Franz Wagner,21.5,−115,−110
Goga Bitadze,10.5,−105,−120
Grant Williams,11.5,+115,−145
Jalen Suggs,11.5,−110,−115
Josh Green,7.5,−105,−125
Kyrie Irving,21.5,−130,+100
Luka Doncic,29.5,−110,−115
Moritz Wagner,10.5,−120,−105
Paolo Banchero,20.5,−105,−125
Tim Hardaway Jr.,14.5,−110,−120
Ben Simmons,8.5,+110,−140
Bobby Portis,9.5,−135,+105
Brook Lopez,12.5,+100,−125
Cameron Thomas,23.5,−105,−120
Damian Lillard,24.5,−115,−110
Dorian Finney-Smith,11.5,−140,+110
Giannis Antetokounmpo,26.5,−105,−125
Jae Crowder,6.5,−120,−105
Khris Middleton,11.5,−115,−115
Lonnie Walker IV,8.5,−120,−105
Malik Beasley,7.5,−120,−105
Mikal Bridges,21.5,−120,−110
Royce O'Neale,7.5,−125,+100
Spencer Dinwiddie,15.5,−105,−120
Immanuel Quickley,13.5,−105,−120
Ivica Zubac,8.5,−120,−105
Jalen Brunson,22.5,−130,+100
James Harden,14.5,−105,−125
Josh Hart,7.5,−110,−115
Julius Randle,17.5,−135,+110
Kawhi Leonard,22.5,−110,−120
Mitchell Robinson,6.5,−110,−115
Norman Powell,11.5,−120,−105
Paul George,22.5,−115,−110
Quentin Grimes,7.5,−130,+100
RJ Barrett,18.5,−110,−120
Russell Westbrook,13.5,−110,−115
Anthony Davis,25.5,+105,−130
Austin Reaves,14.5,−105,−120
Bam Adebayo,18.5,−120,−105
Christian Wood,9.5,−125,+100
D'Angelo Russell,15.5,−110,−115
Duncan Robinson,9.5,−105,−120
Jimmy Butler,20.5,−115,−110
Josh Richardson,7.5,−115,−110
Kyle Lowry,6.5,−125,+100
LeBron James,22.5,−115,−110
Tyler Herro,24.5,−110,−120
Anthony Edwards,24.5,−110,−115
Jaden McDaniels,8.5,+100,−125
Jaylen Brown,22.5,−120,−105
Jayson Tatum,28.5,−110,−115
Jrue Holiday,14.5,+105,−135
Karl-Anthony Towns,21.5,−105,−125
Kristaps Porzingis,18.5,−105,−125
Kyle Anderson,7.5,−110,−110
Mike Conley,10.5,−110,−115
Naz Reid,11.5,−115,−110
Rudy Gobert,12.5,−110,−115
Coby White,12.5,−115,−110
Collin Sexton,9.5,−115,−110
DeMar DeRozan,20.5,−125,−105
John Collins,14.5,+100,−130
Jordan Clarkson,16.5,−105,−120
Kelly Olynyk,6.5,−115,−110
Keyonte George,6.5,−120,−110
Lauri Markkanen,23.5,−115,−115
Nikola Vucevic,17.5,−110,−115
Talen Horton-Tucker,13.5,+105,−135
Walker Kessler,7.5,−105,−125
Zach LaVine,24.5,−120,−105
Bogdan Bogdanovic,12.5,+100,−125
Chet Holmgren,15.5,−120,−110
Clint Capela,10.5,−120,−110
De'Andre Hunter,14.5,−105,−125
Dejounte Murray,21.5,−105,−120
Isaiah Joe,8.5,−105,−120
Jalen Williams,16.5,−125,+100
Josh Giddey,16.5,−115,−110
Luguentz Dort,12.5,−115,−110
Onyeka Okongwu,9.5,−110,−120
Shai Gilgeous-Alexander,29.5,−115,−110
Trae Young,23.5,−125,+100
Alperen Sengun,16.5,−115,−115
Davion Mitchell,9.5,−105,−120
Dillon Brooks,14.5,−125,−105
Domantas Sabonis,19.5,+105,−135
Fred VanVleet,19.5,−105,−125
Harrison Barnes,13.5,−115,−110
Jabari Smith Jr.,15.5,−110,−120
Jae'Sean Tate,7.5,+105,−130
Jalen Green,20.5,−105,−120
JaVale McGee,6.5,+105,−135
Keegan Murray,15.5,+100,−125
Kevin Huerter,11.5,−105,−120
Malik Monk,15.5,−125,+100
Aaron Gordon,14.5,−115,−110
Brandon Ingram,24.5,−110,−115
Herbert Jones,10.5,−115,−110
Jonas Valanciunas,12.5,−105,−125
Kentavious Caldwell-Pope,10.5,−105,−125
Michael Porter Jr.,16.5,−125,−105
Nikola Jokic,28.5,+105,−135
Zion Williamson,24.5,−120,−105
